model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8586046511627907,0.004090203397914089,-0.004961240310077497,-0.574506283662475,0.7807566764349949,0.004952013619971549,-0.013162242483924058,-1.6578824575495834,0.9064885496183205,0.007089380008017844,0.009541984732824305,1.0638297872340288,0.8389227113659325,0.004717330523373092,-0.0033711954441032477,-0.40023979953396005,0.9334951069300221,0.0020624111094545007,-0.0062334323241584055,-0.6633226579566898
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.8748837209302327,0.0007104768519311189,0.00046511627906986597,0.05319148936171339,0.8820054604120129,0.00022747955795262363,0.00014892032762470198,0.016887137630169555,0.7988549618320612,0.001749074692731214,0.0011450381679389832,0.14354066985646582,0.8383727454909821,0.0010652881375047736,0.0006973947895793087,0.08325358851676436,0.9526747453809816,0.000300438508493851,9.068622565899798e-05,0.009520023433880623
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8852713178294573,0.0,0.0,0.0,0.8615384615384617,1.1102230246251565e-16,1.1102230246251565e-16,1.2886517250113422e-14,0.8549618320610687,0.0,0.0,0.0,0.8582375478927202,1.1102230246251565e-16,-1.1102230246251565e-16,-1.2936080777998475e-14,0.9547864389213322,0.0,0.0,0.0
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8889922480620156,0.0017264385621178298,-0.0009302325581393989,-0.10452961672472338,0.8639147371360971,0.0017852312604535279,0.0007968664136636106,0.09232417039362535,0.8625954198473282,0.003413844240457712,-0.003816793893129833,-0.4405286343612406,0.8632519286568663,0.0022699482837642646,-0.0015099761050384464,-0.17461177426105384,0.9485171307276822,0.0006095843887411171,-0.00047934147848438524,-0.05051035409752817
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8800000000000001,0.0027906976744186012,-0.0037209302325580396,-0.4210526315789361,0.832760257863512,0.004875055598498568,-0.009730584627330452,-1.1549780883744407,0.881679389312977,0.0034138442404577,0.003816793893129611,0.4347826086956339,0.8565117628050158,0.003094625869469317,-0.0033013213071336756,-0.38395802159054704,0.9466007613656748,0.0005438690719202386,-0.00016343451657252483,-0.017262431055520375
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7706976744186046,0.0010852713178294711,-0.0013953488372093759,-0.18072289156627458,0.6419526809804126,0.001117838910271981,-0.0014388402165949055,-0.2236336925792857,0.9847328244274808,1.1102230246251565e-16,-1.1102230246251565e-16,-1.1274357846968644e-14,0.7772263496882095,0.0008193690389744871,-0.0010541932982158775,-0.1354515807591331,0.8266099296434337,0.0011593544402513304,-0.000896896737288988,-0.10838541854835892
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8548837209302327,0.005468276616604167,-0.008682170542635537,-1.0053859964093215,0.7760883602146241,0.00627313729822175,-0.01783055870429484,-2.245891649562244,0.9034351145038169,0.008711994053826973,0.0064885496183206826,0.723404255319157,0.834915905432837,0.006284696089787065,-0.007378001377198795,-0.875941440101474,0.933919638052339,0.0019844522028659327,-0.005808901201841521,-0.6181467263356479
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.8748837209302327,0.0007104768519311189,0.00046511627906986597,0.05319148936171339,0.8820054604120131,0.00022747955795262363,0.00014892032762492402,0.016887137630194733,0.7988549618320612,0.001749074692731214,0.0011450381679389832,0.14354066985646582,0.8383727454909818,0.0010652881375047736,0.0006973947895790866,0.08325358851673785,0.9525063281047574,0.0001912652915732825,-7.773105056518848e-05,-0.008160020086218356
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8852713178294573,0.0,0.0,0.0,0.8615384615384617,1.1102230246251565e-16,1.1102230246251565e-16,1.2886517250113422e-14,0.8549618320610687,0.0,0.0,0.0,0.8582375478927202,1.1102230246251565e-16,-1.1102230246251565e-16,-1.2936080777998475e-14,0.9547864389213322,0.0,0.0,0.0
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8880620155038761,0.0022785951095657406,-0.0018604651162789088,-0.20905923344945926,0.8633231753951683,0.0023786859383347287,0.00020530467273482955,0.02378640040936571,0.8606870229007633,0.004267305300572117,-0.005725190839694805,-0.6607929515418673,0.8619994090865271,0.0029637667160739155,-0.002762495675377674,-0.3194515924170218,0.948374125525681,0.00035344909772289383,-0.0006223466804855526,-0.06557945142185416
mlp,random,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.878139534883721,0.0027031931432810324,-0.00558139534883717,-0.6315789473684166,0.8337666446477424,0.006503073266955295,-0.008724197843100079,-1.0355243526810094,0.8744274809160304,0.003984849812561267,-0.0034351145038169495,-0.3913043478261047,0.8535861828554058,0.00266320396989247,-0.006226901256743744,-0.7242156896430225,0.9463775337332828,0.0005287888974422883,-0.000386662148964545,-0.04084038566796791
naive_bayes,random,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7711627906976745,0.0010284107877071233,-0.0009302325581395099,-0.12048192771084013,0.6424320296255768,0.0010599609141524048,-0.0009594915714307151,-0.14913027912547158,0.9847328244274808,1.1102230246251565e-16,-1.1102230246251565e-16,-1.1274357846968644e-14,0.7775776299495946,0.0007767456747756353,-0.0007029130368307879,-0.09031615182535123,0.8269975883443286,0.0006278190159854541,-0.0005092380363941329,-0.061538832086907844
